LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.5589,-74.1977,10312,1
40.5589,-74.1175,10306,1
40.559,-74.1752,10312,1
40.559,-74.1708,10312,1
40.559,-74.1554,10308,1
40.559,-74.124,10306,1
40.5591,-74.1467,10308,1
40.5591,-74.131,10306,1
40.5591,-74.1272,10306,1
40.5591,-74.1143,10306,1
40.5592,-74.1717,10312,1
40.5592,-74.107,10306,1
40.5593,-74.1128,10306,1
40.5594,-74.1676,10312,1
40.5594,-74.15899999999998,10308,1
40.5594,-74.1441,10308,1
40.5595,-74.1785,10312,2
40.5595,-74.1612,10308,1
40.5595,-74.1581,10308,3
40.5595,-74.1317,10306,1
40.5596,-74.1561,10308,1
40.5596,-74.1077,10306,1
40.5597,-74.1985,10312,2
40.5598,-74.1758,10312,1
40.5599,-74.1549,10308,1
40.5599,-73.9128,11697,1
40.56,-74.1862,10312,4
40.56,-74.1218,10306,1
40.56,-74.1182,10306,1
40.56,-74.1151,10306,1
40.56,-73.9241,11697,1
40.56,-73.9105,11697,2
40.5601,-74.1114,10306,1
40.5601,-73.9115,11697,1
40.5602,-74.1615,10308,1
40.5602,-74.1289,10306,1
40.5602,-74.126,10306,1
40.5603,-74.1638,10308,3
40.5603,-74.1532,10308,1
40.5604,-74.1994,10312,1
40.5604,-74.1213,10306,1
40.5604,-74.1201,10306,1
40.5605,-74.1129,10306,1
40.5606,-74.1818,10312,2
40.5606,-74.1251,10306,3
40.5606,-73.91199999999998,11697,1
40.5607,-74.1698,10312,2
40.5607,-74.1026,10306,1
40.5608,-74.1684,10312,2
40.5608,-73.9188,11697,1
40.5608,-73.9112,11697,1
40.5609,-74.1788,10312,1
40.5609,-74.1113,10306,1
40.5609,-73.9144,11697,1
40.561,-74.1953,10312,3
40.5611,-74.1859,10312,1
40.5611,-74.1698,10312,6
40.5611,-74.1598,10308,2
40.5611,-74.1459,10308,1
40.5612,-74.1268,10306,1
40.5612,-74.109,10306,2
40.5612,-73.9159,11697,1
40.5613,-73.9108,11697,1
40.5614,-74.1462,10308,2
40.5615,-74.1794,10312,1
40.5615,-74.1579,10308,1
40.5615,-74.1123,10306,1
40.5617,-74.1723,10312,1
