Year,ZIP Code,Zillow_value
1996,10468,
1997,10468,
1998,10468,
1999,10468,
2000,10468,
2001,10468,
2002,10468,
2003,10468,
2004,10468,
2005,10468,
2006,10468,
2007,10468,
2008,10468,
2009,10468,
2010,10468,
2011,10468,
2012,10468,0.8092941484885778
2013,10468,0.8893503550835041
2014,10468,0.8553623120935337
2015,10468,0.852537331776389
2016,10468,0.9263649376183335
2017,10468,1.1202663983531669
1996,10469,
1997,10469,
1998,10469,
1999,10469,
2000,10469,
2001,10469,
2002,10469,
2003,10469,
2004,10469,
2005,10469,
2006,10469,
2007,10469,
2008,10469,
2009,10469,
2010,10469,
2011,10469,
2012,10469,
2013,10469,0.8305578100802532
2014,10469,0.8340240141608013
2015,10469,0.8725884599834132
2016,10469,0.9497758617146238
2017,10469,0.9999343953138906
1996,10470,
1997,10470,
1998,10470,
1999,10470,
2000,10470,
2001,10470,
2002,10470,
2003,10470,
2004,10470,0.9432992088410905
2005,10470,0.8856423504597383
2006,10470,1.0470769792673325
2007,10470,1.0817723850921548
2008,10470,1.0245699184514192
2009,10470,0.9238209640402971
2010,10470,0.8683886302484952
2011,10470,0.8810195711247717
2012,10470,0.8645329168354179
2013,10470,0.8431322621477446
2014,10470,0.8754774321219339
2015,10470,0.9478379300481325
2016,10470,0.9948377181902389
2017,10470,1.0325067366800198
1996,10471,
1997,10471,
1998,10471,
1999,10471,
2000,10471,
2001,10471,
2002,10471,
2003,10471,
2004,10471,
2005,10471,
2006,10471,
2007,10471,
2008,10471,
2009,10471,
2010,10471,1.1045980557389188
2011,10471,1.0842176280880313
2012,10471,1.011063322737281
2013,10471,0.8698344510190673
2014,10471,0.9223275818933862
2015,10471,0.9377697098725553
2016,10471,1.0244881172093203
2017,10471,0.9919666815972891
1996,10473,
1997,10473,
1998,10473,
1999,10473,
2000,10473,
2001,10473,
2002,10473,
2003,10473,0.5566222222222222
2004,10473,0.7225679012345679
2005,10473,0.8103950617283951
2006,10473,0.9718765432098765
2007,10473,1.042320987654321
2008,10473,1.0211604938271603
2009,10473,0.993530864197531
2010,10473,0.9551851851851851
2011,10473,0.9503209876543209
2012,10473,0.8618765432098766
2013,10473,0.8698897627490804
2014,10473,0.9090004019658551
2015,10473,0.9225169871186599
2016,10473,0.9588809011965383
2017,10473,1.0430573201110556
1996,11004,
1997,11004,
1998,11004,
1999,11004,
2000,11004,
2001,11004,
2002,11004,
2003,11004,0.7090650546479448
2004,11004,0.8089559739704888
2005,11004,0.9202293577006628
2006,11004,1.0767791933954844
2007,11004,1.0321993247120942
2008,11004,0.954750914518796
2009,11004,0.8561814907984848
2010,11004,0.8840988907806301
2011,11004,0.8522591829165127
2012,11004,0.8326518281873717
2013,11004,0.871630136396679
2014,11004,0.9275459730352457
2015,11004,0.9552377987994882
2016,11004,1.0151642201561857
2017,11004,1.1253517124510592
1996,11101,
1997,11101,
1998,11101,
1999,11101,
2000,11101,
2001,11101,
2002,11101,
2003,11101,
2004,11101,
2005,11101,
2006,11101,
2007,11101,
2008,11101,
2009,11101,
2010,11101,0.6077494059308141
2011,11101,0.6050593449844204
2012,11101,0.6287909735336331
2013,11101,0.7276047204056076
2014,11101,0.8332971897925202
2015,11101,0.9246701178183724
2016,11101,0.9957048644944354
2017,11101,1.0389251142234257
1996,11102,
1997,11102,
1998,11102,
1999,11102,
2000,11102,
2001,11102,
