Zip_Code,YEAR,CRIME_COUNT
10474,2007,915
10474,2008,955
10474,2009,853
10474,2010,785
10474,2011,790
10474,2012,825
10474,2013,897
10474,2014,868
10474,2015,842
10474,2016,778
10475,2006,707
10475,2007,703
10475,2008,623
10475,2009,659
10475,2010,698
10475,2011,619
10475,2012,601
10475,2013,566
10475,2014,646
10475,2015,687
10475,2016,587
10550,2007,10
10550,2011,8
10550,2013,3
10550,2006,5
10550,2015,6
10550,2016,6
10550,2009,7
10550,2008,9
10550,2012,9
10550,2014,9
10550,2010,14
10704,2006,1
10704,2007,1
10704,2008,1
10704,2014,1
10704,2009,2
10704,2011,2
10705,2007,1
10705,2006,2
10705,2011,3
10705,2016,5
10803,2006,1
10803,2011,1
10803,2013,1
10803,2015,1
10803,2008,2
10803,2014,2
11001,2006,38
11001,2007,37
11001,2008,27
11001,2009,39
11001,2010,18
11001,2011,29
11001,2012,33
11001,2013,25
11001,2014,29
11001,2015,42
11001,2016,21
11003,2006,1
11004,2006,154
11004,2007,126
11004,2008,97
11004,2009,105
11004,2010,88
11004,2011,119
11004,2012,88
11004,2013,97
11004,2014,94
11004,2015,100
11004,2016,109
11005,2007,1
11005,2008,1
11005,2013,1
11005,2009,2
11005,2012,2
11005,2014,2
11005,2016,3
11005,2006,5
11005,2011,6
11005,2015,6
11020,2007,1
11020,2013,1
11020,2006,2
11040,2006,54
11040,2007,47
11040,2008,29
11040,2009,28
11040,2010,40
11040,2011,25
11040,2012,23
11040,2013,28
11040,2014,34
11040,2015,35
11040,2016,44
11042,2015,1
11096,2009,1
11096,2016,1
11101,2006,1453
11101,2007,1368
11101,2008,1332
11101,2009,1203
11101,2010,1221
11101,2011,1145
11101,2012,1087
11101,2013,1199
11101,2014,1175
11101,2015,1095
11101,2016,1062
11102,2006,634
11102,2007,620
11102,2008,544
11102,2009,544
11102,2010,583
11102,2011,549
11102,2012,594
11102,2013,560
11102,2014,617
11102,2015,549
11102,2016,514
11103,2006,646
11103,2007,673
11103,2008,651
11103,2009,645
11103,2010,662
11103,2011,570
11103,2012,614
11103,2013,671
11103,2014,694
11103,2015,652
11103,2016,667
11104,2006,351
11104,2007,362
11104,2008,370
11104,2009,338
11104,2010,354
11104,2011,334
11104,2012,293
11104,2013,326
11104,2014,298
11104,2015,246
11104,2016,229
11105,2006,462
11105,2007,421
11105,2008,466
11105,2009,414
11105,2010,416
11105,2011,402
11105,2012,487
11105,2013,416
11105,2014,454
11105,2015,446
11105,2016,436
11106,2006,804
11106,2007,803
11106,2008,744
11106,2009,703
11106,2010,719
11106,2011,694
11106,2012,675
11106,2013,738
11106,2014,696
11106,2015,619
11106,2016,613
11109,2011,11
11109,2013,15
11109,2014,11
11109,2015,13
11109,2016,12
11109,2006,3
11109,2009,5
11109,2008,7
11109,2010,7
11109,2012,9
11109,2007,14
11201,2006,2039
11201,2007,1977
11201,2008,1830
11201,2009,1699
11201,2010,1675
11201,2011,1916
11201,2012,1969
11201,2013,1880
11201,2014,1743
11201,2015,1731
11201,2016,1664
11203,2006,2501
11203,2007,2314
11203,2008,2153
11203,2009,2188
11203,2010,2277
11203,2011,2298
11203,2012,2248
11203,2013,2264
11203,2014,2311
11203,2015,2148
11203,2016,1929
11204,2006,982
11204,2007,865
11204,2008,821
11204,2009,744
11204,2010,653
11204,2011,757
11204,2012,728
11204,2013,749
11204,2014,745
11204,2015,775
11204,2016,642
11205,2006,1273
11205,2007,1312
11205,2008,1123
11205,2009,1031
11205,2010,1133
11205,2011,1100
11205,2012,1209
11205,2013,1129
11205,2014,1189
11205,2015,944
11205,2016,926
11206,2006,3029
11206,2007,2989
11206,2008,3183
11206,2009,2929
11206,2010,2982
11206,2011,3036
11206,2012,3082
11206,2013,2906
11206,2014,2665
11206,2015,2456
11206,2016,2390
11207,2006,4304
11207,2007,4491
11207,2008,4649
11207,2009,5055
11207,2010,5128
11207,2011,4925
11207,2012,5090
11207,2013,4707
11207,2014,4717
11207,2015,4075
11207,2016,3349
11208,2006,3489
11208,2007,3606
11208,2008,3526
11208,2009,3666
11208,2010,3892
11208,2011,4056
11208,2012,3977
11208,2013,3917
11208,2014,3753
11208,2015,3297
11208,2016,2969
11209,2006,1182
11209,2007,1027
11209,2008,1018
11209,2009,966
11209,2010,897
11209,2011,884
11209,2012,881
11209,2013,848
11209,2014,910
11209,2015,957
11209,2016,1075
11210,2006,1445
11210,2007,1397
11210,2008,1445
11210,2009,1344
11210,2010,1337
11210,2011,1405
11210,2012,1382
11210,2013,1354
11210,2014,1301
11210,2015,1314
11210,2016,1146
11211,2006,1611
11211,2007,1445
11211,2008,1518
11211,2009,1429
11211,2010,1480
11211,2011,1455
11211,2012,1483
11211,2013,1499
11211,2014,1390
11211,2015,1455
11211,2016,1277
11212,2006,4276
11212,2007,4161
11212,2008,4530
11212,2009,4728
11212,2010,4549
11212,2011,4725
11212,2012,4325
11212,2013,3866
11212,2014,3812
11212,2015,3562
11212,2016,3241
11213,2006,2607
11213,2007,2761
11213,2008,2541
11213,2009,2373
11213,2010,2593
11213,2011,2768
11213,2012,2671
11213,2013,2702
11213,2014,2439
11213,2015,2145
11213,2016,1938
11214,2006,1349
11214,2007,1328
11214,2008,1166
11214,2009,1108
11214,2010,1085
11214,2011,1036
11214,2012,1221
11214,2013,1251
11214,2014,1300
11214,2015,1168
11214,2016,1118
11215,2006,1270
11215,2007,1147
11215,2008,1073
11215,2009,990
11215,2010,964
11215,2011,931
11215,2012,919
11215,2013,853
11215,2014,826
11215,2015,866
11215,2016,836
11216,2006,2404
11216,2007,2616
11216,2008,2309
11216,2009,2259
11216,2010,2190
11216,2011,2146
11216,2012,2189
11216,2013,2061
11216,2014,1894
11216,2015,1667
11216,2016,1635
11217,2006,1340
11217,2007,1295
11217,2008,1305
11217,2009,1088
11217,2010,1135
11217,2011,1101
11217,2012,1180
11217,2013,1141
11217,2014,1137
11217,2015,1145
11217,2016,1155
11218,2006,1172
11218,2007,977
11218,2008,965
11218,2009,899
11218,2010,946
11218,2011,827
11218,2012,885
11218,2013,858
11218,2014,837
11218,2015,867
11218,2016,772
11219,2006,789
11219,2007,842
11219,2008,712
11219,2009,796
11219,2010,727
11219,2011,761
11219,2012,755
11219,2013,744
11219,2014,749
11219,2015,770
11219,2016,813
11220,2006,1750
11220,2007,1703
11220,2008,1705
11220,2009,1583
11220,2010,1755
11220,2011,1743
11220,2012,1850
11220,2013,1854
11220,2014,1766
11220,2015,1713
11220,2016,1757
11221,2006,3036
11221,2007,2954
11221,2008,3348
11221,2009,3123
11221,2010,3230
11221,2011,3138
11221,2012,3240
11221,2013,2978
11221,2014,2814
11221,2015,2332
11221,2016,2262
11222,2006,733
11222,2007,717
11222,2008,703
11222,2009,672
11222,2010,693
11222,2011,569
11222,2012,651
11222,2013,763
11222,2014,653
11222,2015,675
11222,2016,714
11223,2006,1333
11223,2007,1277
11223,2008,1260
11223,2009,1117
11223,2010,989
11223,2011,1112
11223,2012,1196
11223,2013,1167
11223,2014,1206
11223,2015,1210
11223,2016,1010
11224,2006,1570
11224,2007,1425
11224,2008,1387
11224,2009,1222
11224,2010,1458
11224,2011,1399
11224,2012,1394
11224,2013,1454
11224,2014,1504
11224,2015,1621
11224,2016,1341
11225,2006,1940
11225,2007,1784
11225,2008,1671
11225,2009,1576
11225,2010,1788
11225,2011,1889
11225,2012,1778
11225,2013,1630
11225,2014,1589
11225,2015,1578
11225,2016,1380
11226,2006,3774
11226,2007,3369
11226,2008,3341
11226,2009,3315
11226,2010,3355
11226,2011,3238
11226,2012,3254
11226,2013,2956
11226,2014,2916
11226,2015,2533
11226,2016,2312
11228,2006,548
11228,2007,414
11228,2008,437
11228,2009,440
11228,2010,414
11228,2011,389
11228,2012,395
11228,2013,404
11228,2014,432
11228,2015,433
11228,2016,448
11229,2006,1237
11229,2007,1193
11229,2008,1265
11229,2009,971
11229,2010,1013
11229,2011,997
11229,2012,1277
11229,2013,1148
11229,2014,1213
11229,2015,1052
11229,2016,879
11230,2006,1334
11230,2007,1220
11230,2008,1116
11230,2009,946
11230,2010,971
11230,2011,942
11230,2012,1013
11230,2013,984
11230,2014,877
11230,2015,899
11230,2016,802
11231,2006,929
11231,2007,831
11231,2008,824
11231,2009,798
11231,2010,822
11231,2011,832
11231,2012,914
11231,2013,754
11231,2014,732
11231,2015,741
11231,2016,750
11232,2006,738
11232,2007,744
11232,2008,652
11232,2009,648
11232,2010,633
11232,2011,691
11232,2012,600
11232,2013,583
11232,2014,646
11232,2015,624
11232,2016,620
11233,2006,3242
11233,2007,3558
11233,2008,3479
11233,2009,3521
11233,2010,3824
11233,2011,3826
11233,2012,3732
11233,2013,3420
11233,2014,3252
11233,2015,2786
